/home/i0179/lib/python3.10/site-packages/requests/__init__.py:86: RequestsDependencyWarning: Unable to find acceptable character detection dependency (chardet or charset_normalizer).
  warnings.warn(
INFO:__main__:Starting Reality Lab Qwen3-4B Server (4-bit) on port 4005...
INFO:__main__:Loading Qwen3-4B tokenizer from local path
INFO:__main__:Loading Qwen3-4B model with 4-bit quantization
INFO:accelerate.utils.modeling:We will use 90% of the memory on device 0 for storing the model, and 10% for the buffer to avoid OOM. You can set `max_memory` in to a higher value to use more memory (at your own risk).
Loading checkpoint shards:   0%|          | 0/3 [00:00<?, ?it/s]Loading checkpoint shards:  33%|███▎      | 1/3 [00:19<00:38, 19.03s/it]Loading checkpoint shards:  67%|██████▋   | 2/3 [00:38<00:19, 19.48s/it]Loading checkpoint shards: 100%|██████████| 3/3 [00:39<00:00, 10.79s/it]Loading checkpoint shards: 100%|██████████| 3/3 [00:39<00:00, 13.09s/it]
INFO:__main__:✅ Qwen3-4B model loaded successfully with 4-bit quantization
INFO:__main__:Model vocab size: 151936, Tokenizer vocab size: 151669
INFO:__main__:PAD token ID: 151643, EOS token ID: 151645
INFO:__main__:Loading RAG system...
INFO:sentence_transformers.SentenceTransformer:Use pytorch device_name: cuda:0
INFO:sentence_transformers.SentenceTransformer:Load pretrained SentenceTransformer: sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2
INFO:__main__:✅ RAG system loaded successfully!
INFO:__main__:⏱️  Idle timeout enabled: server will shutdown after Nones of inactivity
INFO:__main__:🚀 Qwen3-4B server ready on port 4005!
INFO:__main__:✅ Running with HTTP (no SSL)
Loading Hierarchical RAG from: /home/i0179/Realitylab-site/ai_server/hierarchical_rag
  Loading embedding model: sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2
  ✅ faculty: 2 docs
  ✅ students: 23 docs
  ✅ alumni: 17 docs
  ✅ news: 18 docs
  ✅ publications: 32 docs
  ✅ lab_info: 1 docs
✅ Hierarchical RAG ready!
 * Serving Flask app 'qwen3_4b_lowmem'
 * Debug mode: off
INFO:werkzeug:[31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:4005
 * Running on http://203.253.25.165:4005
INFO:werkzeug:[33mPress CTRL+C to quit[0m
INFO:werkzeug:127.0.0.1 - - [30/Nov/2025 08:30:43] "[33mGET / HTTP/1.1[0m" 404 -
INFO:werkzeug:127.0.0.1 - - [30/Nov/2025 11:46:09] "[33mGET / HTTP/1.1[0m" 404 -
INFO:werkzeug:127.0.0.1 - - [30/Nov/2025 16:20:51] "[33mGET / HTTP/1.1[0m" 404 -
INFO:werkzeug:127.0.0.1 - - [30/Nov/2025 17:46:46] "GET /health HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [30/Nov/2025 17:46:46] "OPTIONS /heartbeat HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [30/Nov/2025 17:46:46] "POST /heartbeat HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [30/Nov/2025 17:46:51] "GET /health HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [30/Nov/2025 17:46:51] "OPTIONS /heartbeat HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [30/Nov/2025 17:46:51] "POST /heartbeat HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [30/Nov/2025 18:05:18] "[33mGET / HTTP/1.1[0m" 404 -
INFO:werkzeug:127.0.0.1 - - [30/Nov/2025 18:12:34] "OPTIONS /heartbeat HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [30/Nov/2025 18:12:34] "GET /health HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [30/Nov/2025 18:12:34] "POST /heartbeat HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [30/Nov/2025 18:30:34] "[33mGET / HTTP/1.1[0m" 404 -
INFO:werkzeug:127.0.0.1 - - [30/Nov/2025 19:13:16] "OPTIONS /heartbeat HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [30/Nov/2025 19:13:16] "GET /health HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [30/Nov/2025 19:13:16] "POST /heartbeat HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [30/Nov/2025 19:13:46] "OPTIONS /heartbeat HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [30/Nov/2025 19:13:46] "POST /heartbeat HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [30/Nov/2025 19:14:16] "OPTIONS /heartbeat HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [30/Nov/2025 19:14:16] "POST /heartbeat HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [30/Nov/2025 19:14:46] "OPTIONS /heartbeat HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [30/Nov/2025 19:14:46] "POST /heartbeat HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [30/Nov/2025 19:15:16] "OPTIONS /heartbeat HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [30/Nov/2025 19:15:16] "POST /heartbeat HTTP/1.1" 200 -
